 |INFO | 2015-09-16 20:09:31,770| BaseController           | OnActionExecuting             | Method Start ACTION: Login CONTROLLER: Home
 |INFO | 2015-09-16 20:09:31,966| BaseController           | OnActionExecuted              | Method End ACTION: Login CONTROLLER: Home
 |INFO | 2015-09-16 20:09:31,980| CustomAuthorizeAttribute | OnAuthorization               | Method start
 |INFO | 2015-09-16 20:09:31,980| CustomAuthorizeAttribute | OnAuthorization               | Method end
 |INFO | 2015-09-16 20:09:31,981| BaseController           | OnActionExecuting             | Method Start ACTION: Index CONTROLLER: User
 |INFO | 2015-09-16 20:09:32,092| ServiceConsumer          | Get                           | Method Start
 |INFO | 2015-09-16 20:09:33,858| ServiceConsumer          | Get                           | Method End
 |INFO | 2015-09-16 20:10:59,866| BaseController           | OnActionExecuted              | Method End ACTION: Index CONTROLLER: User
 |INFO | 2015-09-16 20:10:59,871| BaseController           | OnActionExecuting             | Method Start ACTION: Login CONTROLLER: Home
 |INFO | 2015-09-16 20:10:59,872| BaseController           | OnActionExecuted              | Method End ACTION: Login CONTROLLER: Home
 |INFO | 2015-09-16 20:10:59,878| CustomAuthorizeAttribute | OnAuthorization               | Method start
 |INFO | 2015-09-16 20:10:59,878| CustomAuthorizeAttribute | OnAuthorization               | Method end
 |INFO | 2015-09-16 20:10:59,878| BaseController           | OnActionExecuting             | Method Start ACTION: Index CONTROLLER: User
 |INFO | 2015-09-16 20:10:59,879| ServiceConsumer          | Get                           | Method Start
 |INFO | 2015-09-16 20:11:00,229| ServiceConsumer          | Get                           | Method End
 |INFO | 2015-09-16 20:11:00,243| BaseController           | OnActionExecuted              | Method End ACTION: Index CONTROLLER: User
 |INFO | 2015-09-16 20:11:02,800| BaseController           | OnActionExecuting             | Method Start ACTION: Login CONTROLLER: Home
 |INFO | 2015-09-16 20:11:02,803| BaseController           | OnActionExecuted              | Method End ACTION: Login CONTROLLER: Home
 |INFO | 2015-09-16 20:11:02,808| CustomAuthorizeAttribute | OnAuthorization               | Method start
 |INFO | 2015-09-16 20:11:02,809| CustomAuthorizeAttribute | OnAuthorization               | Method end
 |INFO | 2015-09-16 20:11:02,809| BaseController           | OnActionExecuting             | Method Start ACTION: Index CONTROLLER: User
 |INFO | 2015-09-16 20:11:02,810| ServiceConsumer          | Get                           | Method Start
 |INFO | 2015-09-16 20:11:02,822| ServiceConsumer          | Get                           | Method End
 |INFO | 2015-09-16 20:11:02,823| BaseController           | OnActionExecuted              | Method End ACTION: Index CONTROLLER: User
 |INFO | 2015-09-16 20:14:29,281| BaseController           | OnActionExecuting             | Method Start ACTION: Login CONTROLLER: Home
 |INFO | 2015-09-16 20:14:29,334| BaseController           | OnActionExecuted              | Method End ACTION: Login CONTROLLER: Home
 |INFO | 2015-09-16 20:14:29,343| CustomAuthorizeAttribute | OnAuthorization               | Method start
 |INFO | 2015-09-16 20:14:29,343| CustomAuthorizeAttribute | OnAuthorization               | Method end
 |INFO | 2015-09-16 20:14:29,343| BaseController           | OnActionExecuting             | Method Start ACTION: Index CONTROLLER: User
 |INFO | 2015-09-16 20:14:29,434| ServiceConsumer          | Get                           | Method Start
 |INFO | 2015-09-16 20:14:30,822| ServiceConsumer          | Get                           | Method End
